ArrivalStateNum,AlarmsArrivalNum,WarningsArrivalNum,DepartureStateNum,AlarmsDepartureNum,WarningsDepartureNum,val_byp_ep_inprmsphsab,val_byp_freq_inp,val_sys_freq_outnom,val_sys_ap_out,val_sys_ec_outrmsphsa,val_sys_ep_inpnom,val_sys_ep_inprmsphsab,val_sys_ep_outnom,val_sys_ep_outrmsphsab,val_sys_freq_inp,val_sys_freq_inpnom,val_sys_freq_out,val_sys_va_outrated,val_sys_w_outrated
0,1,1,0,0,0,220.1,59.98,60,3.63,16.9,208,219.8,208,205.1,59.98,60,59.98,12,11
0,0,0,0,0,0,211.1,60,60,3,13,208,211.1,208,209.2,60,60,60,15,14
0,1,1,0,0,0,212.4,59.95,60,2.65,12.2,208,212.7,208,208.6,59.95,60,59.95,12,11
0,1,1,0,0,0,210.6,59.98,60,0,0,208,210.9,208,208.2,59.98,60,59.98,15,14
1,1,1,0,0,0,205.9,60,60,2.85,13.9,208,205.7,240,205.5,60,60,59.98,12,11
0,1,1,0,0,0,200.3,59.95,60,3.75,18,208,200.3,208,208,59.95,60,59.95,12,11
0,1,1,0,0,0,201.9,59.98,60,4.65,21.8,208,201.9,208,209.6,59.98,60,59.98,12,11
0,1,1,0,0,0,210,59.98,60,2.25,10.5,208,210.2,208,209.8,60,60,60,12,11
0,1,1,0,0,0,207,59.98,60,3.61,17,208,207,208,208,59.98,60,60,15,15
0,1,1,0,0,0,207.3,59.95,60,0,0,208,207,240,209,59.95,60,59.95,15,14
0,0,0,0,0,0,205,59.98,60,5.49,27.3,208,204.8,208,208.6,59.98,60,60,12,11
1,1,0,1,0,0,209.5,59.98,60,3.02,14.4,208,210,208,209,59.98,60,59.95,12,11
0,1,1,0,0,0,204.6,59.95,60,4.13,19.5,208,204.8,208,208.6,59.95,60,59.95,12,11
0,1,1,0,0,0,244.3,59.98,60,1.72,6.9,240,244.3,240,241.6,59.98,60,59.98,10,9
0,1,1,0,0,0,198.1,60,60,3.77,18.1,208,198.7,208,208.4,60,60,60,12,11
0,0,0,0,0,0,205,60,60,4.03,18.8,208,205,208,204.1,60,60,60,15,14
0,0,0,0,0,0,211.8,60,60,2.47,12.4,208,211.8,208,208,60,60,60,15,13.5
